itemId,zone,containerId,coordinates
1,Storage_Bay,TA01,"(0,0,0),(26.8,17.5,19.4)"
2,Maintenance_Bay,MB01,"(0,0,0),(49.9,36.3,44.2)"
3,Airlock,A01,"(0,0,0),(48.1,33.2,43.1)"
4,Medical_Bay,EA01,"(0,0,0),(15.6,46.5,17.0)"
5,External_Storage,ES01,"(0,0,0),(23.2,31.6,18.2)"
6,Command_Center,CC01,"(0,0,0),(11.5,39.7,46.0)"
7,Medical_Bay,EA02,"(0,0,0),(17.6,15.1,24.9)"
8,Life_Support,LS01,"(0,0,0),(39.2,13.0,36.7)"
9,Crew_Quarters,CQ01,"(0,0,0),(31.3,16.5,33.9)"
10,Storage_Bay,TA02,"(0,0,0),(15.7,18.6,29.4)"
11,Storage_Bay,TA03,"(0,0,0),(11.3,31.8,43.7)"
12,Greenhouse,G01,"(0,0,0),(26.0,18.1,11.5)"
13,Airlock,A02,"(0,0,0),(32.7,35.6,48.0)"
14,Crew_Quarters,CQ02,"(0,0,0),(27.4,16.6,24.5)"
15,Engineering_Bay,EB01,"(0,0,0),(33.9,43.2,48.2)"
16,Engineering_Bay,EB02,"(0,0,0),(44.9,11.0,14.4)"
17,Maintenance_Bay,MB02,"(0,0,0),(27.6,32.5,17.5)"
18,Engineering_Bay,EB01,"(0,0,0),(15.4,35.8,22.7)"
19,Life_Support,LS02,"(0,0,0),(23.7,22.4,32.8)"
20,Storage_Bay,TA01,"(0,0,0),(33.3,39.2,33.2)"
21,Storage_Bay,TA02,"(0,0,0),(36.9,47.6,33.7)"
22,Engine_Bay,NA01,"(0,0,0),(20.6,42.4,24.7)"
23,Airlock,A03,"(0,0,0),(41.7,16.1,28.0)"
24,Storage_Bay,TA03,"(0,0,0),(49.6,47.9,14.9)"
25,Crew_Quarters,CQ03,"(0,0,0),(37.6,19.6,20.8)"
26,Maintenance_Bay,MB03,"(0,0,0),(46.5,46.7,25.6)"
27,Engineering_Bay,EB02,"(0,0,0),(45.0,46.7,10.0)"
28,Lab,L01,"(0,0,0),(10.8,16.1,24.7)"
29,Medical_Bay,EA03,"(0,0,0),(20.4,17.9,47.0)"
30,Engineering_Bay,EB02,"(0,11.0,0),(11.0,47.9,11.7)"
31,Crew_Quarters,CQ04,"(0,0,0),(38.2,28.3,16.2)"
